Time / s	[chan  0]    	[chan  1]    	
0000000.2	-.046120  	-.044553  	
0000000.4	-.046072  	-.044534  	
0000000.6	-.046001  	-.044573  	
0000000.8	-.046025  	-.044575  	
0000001.0	-.045977  	-.044544  	
0000001.2	-.046032  	-.044587  	
0000001.4	-.046158  	-.044596  	
0000001.6	-.046170  	-.044620  	
0000001.8	-.046156  	-.044658  	
0000002.0	-.046170  	-.044680  	
0000002.2	-.046156  	-.044708  	
0000002.4	-.046185  	-.044742  	
0000002.6	-.046266  	-.044754  	
0000002.8	-.046342  	-.044746  	
0000003.0	-.046301  	-.044752  	
0000003.2	-.046284  	-.044792  	
0000003.4	-.046310  	-.044839  	
0000003.6	-.046315  	-.044873  	
0000003.8	-.046411  	-.044875  	
0000004.0	-.046482  	-.044866  	
0000004.2	-.046384  	-.044869  	
0000004.4	-.046425  	-.044930  	
0000004.6	-.046430  	-.044942  	
0000004.8	-.046394  	-.044956  	
0000005.0	-.046533  	-.044981  	
0000005.2	-.046577  	-.044983  	
0000005.4	-.046566  	-.045021  	
0000005.6	-.046583  	-.045037  	
0000005.8	-.046549  	-.045011  	
0000006.0	-.046547  	-.045043  	
0000006.2	-.046626  	-.045026  	
0000006.4	-.046659  	-.045055  	
0000006.6	-.046712  	-.045140  	
0000006.8	-.046675  	-.045176  	
0000007.0	-.046702  	-.045221  	
0000007.2	-.046721  	-.045248  	
0000007.4	-.046762  	-.045266  	
0000007.6	-.046871  	-.045276  	
0000007.8	-.046852  	-.045255  	
0000008.0	-.046750  	-.045264  	
0000008.2	-.046773  	-.045312  	
0000008.4	-.046754  	-.045359  	
0000008.6	-.046799  	-.045402  	
0000008.8	-.046940  	-.045436  	
0000009.0	-.046940  	-.045457  	
0000009.2	-.046909  	-.045495  	
0000009.4	-.046938  	-.045447  	
0000009.6	-.046850  	-.045414  	
0000009.8	-.046856  	-.045428  	
0000010.0	-.046923  	-.045424  	
0000010.2	-.046931  	-.045448  	
0000010.4	-.046952  	-.045469  	
0000010.6	-.046957  	-.045488  	
0000010.8	-.046995  	-.045539  	
0000011.0	-.047040  	-.045524  	
0000011.2	-.047098  	-.045512  	
0000011.4	-.047126  	-.045512  	
0000011.6	-.047045  	-.045495  	
0000011.8	-.047022  	-.045484  	
0000012.0	-.047029  	-.045519  	
0000012.2	-.047045  	-.045578  	
0000012.4	-.047195  	-.045636  	
0000012.6	-.047267  	-.045652  	
0000012.8	-.047224  	-.045655  	
0000013.0	-.047250  	-.045655  	
0000013.2	-.047169  	-.045614  	
0000013.4	-.047105  	-.045598  	
0000013.6	-.047176  	-.045596  	
0000013.8	-.047219  	-.045593  	
0000014.0	-.047262  	-.045622  	
0000014.2	-.047293  	-.045670  	
0000014.4	-.047302  	-.045719  	
0000014.6	-.047331  	-.045762  	
0000014.8	-.047414  	-.045722  	
0000015.0	-.047410  	-.045698  	
0000015.2	-.047417  	-.045714  	
0000015.4	-.047338  	-.045713  	
0000015.6	-.047353  	-.045745  	
0000015.8	-.047379  	-.045781  	
0000016.0	-.047448  	-.045824  	
0000016.2	-.047591  	-.045893  	
0000016.4	-.047627  	-.045898  	
0000016.6	-.047543  	-.045862  	
0000016.8	-.047538  	-.045848  	
0000017.0	-.047515  	-.045834  	
0000017.2	-.047510  	-.045846  	
0000017.4	-.047619  	-.045875  	
0000017.6	-.047639  	-.045920  	
0000017.8	-.047629  	-.045977  	
0000018.0	-.047653  	-.046011  	
0000018.2	-.047624  	-.046022  	
0000018.4	-.047655  	-.046034  	
0000018.6	-.047711  	-.046003  	
0000018.8	-.047687  	-.045996  	
0000019.0	-.047655  	-.046020  	
0000019.2	-.047646  	-.046044  	
0000019.4	-.047657  	-.046096  	
0000019.6	-.047701  	-.046113  	
0000019.8	-.047780  	-.046147  	
0000020.0	-.047855  	-.046187  	
0000020.2	-.047832  	-.046166  	
0000020.4	-.047761  	-.046147  	
0000020.6	-.047760  	-.046141  	
0000020.8	-.047746  	-.046144  	
0000021.0	-.047841  	-.046170  	
0000021.2	-.047941  	-.046223  	
0000021.4	-.047905  	-.046244  	
0000021.6	-.047935  	-.046270  	
0000021.8	-.047925  	-.046282  	
0000022.0	-.047908  	-.046254  	
0000022.2	-.047961  	-.046239  	
0000022.4	-.048015  	-.046230  	
